NOME DO MUNICÍPIO,POPULAÇÃO
Pontes Gestal,2332
Populina,4154
Porangaba,9634
Porto Feliz,59306
Porto Ferreira,52551
Potim,20342
Potirendaba,20227
Pracinha,2581
Pradópolis,17035
Praia Grande,344834
Pratânia,5127
Presidente Alves,3819
Presidente Bernardes,14371
Presidente Epitácio,38992
Presidente Prudente,226692
Presidente Venceslau,35039
Promissão,35142
Quadra,3341
Quatá,12849
Queiroz,3274
Queluz,9387
Quintana,7043
Rafard,9333
Rancharia,28569
Redenção da Serra,3726
Regente Feijó,20151
Reginópolis,7632
Registro,63034
Restinga,6440
Ribeira,3085
Ribeirão Bonito,11004
Ribeirão Branco,18494
Ribeirão Corrente,4638
Ribeirão do Sul,4667
Ribeirão dos Índios,1999
Ribeirão Grande,7348
Ribeirão Pires,116174
Ribeirão Preto,702739
Riversul,5604
Rifaina,3958
Rincão,8731
Rinópolis,9251
Rio Claro,206950
Rio das Pedras,31503
Rio Grande da Serra,45183
Riolândia,10358
Rosana,17237
Roseira,10787
Rubiácea,2680
Rubinéia,3837
Sabino,5112
Sagres,2467
Sales,6468
Sales Oliveira,11420
Salesópolis,15289
Salmourão,4758
Saltinho,8353
Salto,141988
Salto de Pirapora,44921
Salto Grande,9051
Sandovalina,3657
Santa Adélia,14018
Santa Albertina,6388
Santa Bárbara d'Oeste,183447
Santa Branca,13441
Santa Clara d'Oeste,2596
Santa Cruz da Conceição,4179
Santa Cruz da Esperança,2129
Santa Cruz das Palmeiras,28861
Santa Cruz do Rio Pardo,46105
Santa Ernestina,6123
Santa Fé do Sul,34762
Santa Gertrudes,23721
Santa Isabel,56635
Santa Lúcia,7004
Santa Maria da Serra,5753
Santa Mercedes,2952
Santana da Ponte Pensa,1669
Santana de Parnaíba,163348
Santa Rita d'Oeste,2736
Santa Rita do Passa Quatro,24858
Santa Rosa de Viterbo,23783
Santa Salete,1644
Santo Anastácio,17875
Santo André,776640
Santo Antônio da Alegria,6775
Santo Antônio de Posse,23102
Santo Antônio do Aracanguá,8322
Santo Antônio do Jardim,6114
Santo Antônio do Pinhal,7071
Santo Expedito,3004
Santópolis do Aguapeí,3899
Santos,414029
São Bento do Sapucaí,11427
São Bernardo do Campo,832347
São Caetano do Sul,166847
São Carlos,256898
São Francisco,2602
São João da Boa Vista,92319
São João das Duas Pontes,2569
São João de Iracema,1843
São João do Pau d'Alho,2226
São Joaquim da Barra,48058
São José da Bela Vista,7642
São José do Barreiro,4313
São José do Rio Pardo,51668
São José do Rio Preto,475643
São José dos Campos,725419
São Lourenço da Serra,15992
São Luiz do Paraitinga,10181
São Manuel,39467
São Miguel Arcanjo,32062
São Paulo,12200180
São Pedro,38991
São Pedro do Turvo,7155
São Roque,85848
São Sebastião,87939
São Sebastião da Grama,10023
São Simão,13374
São Vicente,334632
Sarapuí,10334
Sarutaiá,3713
Sebastianópolis do Sul,3184
Serra Azul,10429
Serrana,44495
Serra Negra,29915
Sertãozinho,127670
Sete Barras,13694
Severínia,14020
Silveiras,6169
Socorro,40323
Sorocaba,738128
Sud Mennucci,6997
Sumaré,294128
Suzano,330710
Suzanápolis,3315
Tabapuã,11323
Tabatinga,14585
Taboão da Serra,283419
Taciba,6243
Taguaí,12637
Taiaçu,5677
Taiúva,6549
Tambaú,21475
Tanabi,25370
Tapiraí,7987
Tapiratiba,11730
Taquaral,2620
Taquaritinga,51833
Taquarituba,24366
Taquarivaí,7057
Tarabai,6535
Tarumã,14899
Tatuí,122991
Taubaté,311912
Tejupá,4139
Teodoro Sampaio,22217
Terra Roxa,7903
Tietê,38336
Timburi,2434
Torre de Pedra,2044
Torrinha,9303
Trabiju,1729
Tremembé,51489
Três Fronteiras,6802
Tuiuti,6831
Tupã,63551
Tupi Paulista,15839
Turiúba,1798
Turmalina,1689
Ubarana,5365
Ubatuba,97382
Ubirajara,5124
Uchoa,10067
União Paulista,1535
Urânia,8840
Uru,1387
Urupês,13540
Valentim Gentil,14132
Valinhos,132846
Valparaíso,23775
Vargem,9948
Vargem Grande do Sul,39539
Vargem Grande Paulista,53777
Várzea Paulista,125054
Vera Cruz,10194
Vinhedo,82029
Viradouro,17413
Vista Alegre do Alto,8108
Vitória Brasil,1796
Votorantim,137319
Votuporanga,96795
Zacarias,2680
Chavantes,12090
Estiva Gerbi,11394
